,id,seccion,edad,pf_ac1,pf_ac2,pf_ac3,pf_alg_2019,pf_alg_2020,alg_1b_2021,alg_2b_2021,alg_3b_2021,alg_4b_2021,pf_apm_2019,pf_apm_2020,am_1b_2021,am_2b_2021,am_3b_2021,am_4b_2021,pf_geo_2019,pf_geo_2020,geo_1b_2021,geo_2b_2021,geo_3b_2021,geo_4b_2021,grupo_mate,genero,anios_colegio,condicion_pago,pe1,pe2,horas_asincronas,valoracion_clases,dispos_clases,calidad_internet,Result
0,1,0,15,13,19,14,16,15,16,16,15,17,13,12,12,13,15,12,13,13,15,13,14,14,0,2,3,1,1,1,1,1,1,1,2
1,2,0,14,16,19,17,16,17,17,16,18,18,17,16,15,16,17,16,16,16,16,14,12,16,0,1,3,1,1,0,0,0,4,0,3
2,3,0,14,11,18,11,11,13,12,12,16,16,11,11,7,8,10,8,11,13,14,6,12,16,0,2,3,1,2,2,3,2,1,2,2
3,4,0,14,17,17,19,18,16,16,16,19,19,16,18,15,16,16,19,15,14,14,14,12,17,0,1,3,1,1,0,0,0,2,0,3
4,5,0,15,8,9,11,11,11,12,11,14,11,11,11,9,10,6,10,14,11,15,8,13,13,0,2,3,1,2,2,3,2,2,2,2
5,6,0,14,17,18,18,16,17,17,18,18,17,14,15,15,17,16,14,15,16,16,15,13,16,0,2,3,1,1,1,1,1,1,1,3
6,7,0,14,15,17,19,17,17,17,18,18,18,16,15,16,16,17,15,16,14,16,15,13,16,0,2,3,1,1,1,1,2,2,1,3
7,8,0,14,18,18,20,18,18,17,17,19,19,18,18,16,17,18,18,16,16,16,15,14,17,0,1,3,1,1,0,0,0,1,0,3
8,9,0,14,6,6,10,11,11,10,9,8,8,11,11,6,5,5,5,12,12,16,6,10,10,0,2,3,1,2,2,2,2,5,2,1
9,10,0,14,16,17,20,17,16,15,15,18,18,12,12,12,13,16,14,16,13,16,13,11,16,0,1,3,1,1,1,1,1,4,1,3
10,11,0,15,13,13,19,11,16,10,14,16,18,11,11,8,10,11,9,14,11,15,11,13,14,0,1,4,1,1,1,1,1,2,1,2
11,12,0,15,13,15,18,18,15,15,16,18,18,12,13,11,13,14,11,12,12,16,12,12,16,0,2,3,1,1,1,1,1,3,1,2
12,13,0,14,14,14,19,15,18,14,15,17,18,11,12,13,12,13,10,15,15,16,12,13,13,0,2,3,1,1,1,1,1,3,1,3
13,14,0,14,17,17,17,17,17,17,17,17,17,15,14,14,15,16,12,16,16,16,15,15,17,0,1,3,1,1,1,1,1,2,1,3
14,15,0,15,11,12,16,13,14,14,13,15,16,11,11,10,11,12,11,12,14,14,11,12,13,0,1,3,1,1,1,1,1,1,1,2
15,16,0,15,18,18,20,19,19,18,18,19,19,15,17,15,17,17,15,17,15,17,15,14,17,0,1,3,1,1,0,0,0,2,0,3
16,17,0,14,16,18,19,19,19,17,19,18,19,14,13,13,13,17,16,12,17,15,12,15,17,0,1,3,1,1,1,1,1,2,1,3
17,18,0,14,9,8,15,13,13,10,10,14,14,11,11,8,7,8,9,11,15,15,8,14,14,0,2,4,1,1,2,2,2,3,2,2
18,19,0,15,12,12,18,15,15,16,16,14,15,11,11,6,9,7,8,11,11,14,6,10,13,0,2,3,1,2,2,2,2,4,2,2
19,20,0,15,15,17,19,13,12,10,14,13,16,11,15,10,15,13,14,14,15,15,12,14,14,0,2,3,1,1,1,1,1,2,1,3
